id,gmailMessageId,emailDate,caloriesBurned,splatPoints,avgHeartRate,peakHeartRate,steps,treadmillDistance,treadmillTime,rowingDistance,rowingTime,activeMinutes,minutesInGrayZone,minutesInBlueZone,minutesInGreenZone,minutesInOrangeZone,minutesInRedZone,createdAt
cmkhndhip0004bz34gntkb7c1,19bc21199351cd13,1768487491000,795,23,147,181,5438,3.58,1802,922.0,189,55,11,3,18,23,0,1768614442225
cmkhndhka0006bz34pzaxldii,19bb7c61c6bf1be9,1768314772000,604,14,126,179,3685,1.97,924,1661.0,334,56,30,3,9,14,0,1768614442283
cmkhndhlh0008bz342gjyj81h,19badf173d9e5876,1768149840000,919,26,159,185,4389,2.37,1139,986.0,299,57,2,4,25,23,3,1768614442326
cmkhndhmc000abz34156jk9v3,19ba32bde73e7e3f,1767969119000,844,22,152,183,3223,1.87,967,3665.0,1112,56,8,2,24,22,0,1768614442356
cmkhndhn6000cbz342u18m984,19b93babec5200ed,1767710046000,889,26,155,185,5008,3.06,1580,2525.0,731,57,6,4,21,24,2,1768614442387
cmkhndho6000ebz34maptsbch,19b89e3ccfa33cda,1767544965000,898,32,162,183,4616,2.69,1429,2043.0,627,54,3,3,16,31,1,1768614442422
cmkhndhow000gbz34eyih0jl1,19b7fa63209f79af,1767373156000,702,24,132,188,4604,2.88,1493,,,59,24,4,7,20,4,1768614442449
cmkhndhq2000ibz34fnmfog0o,19b6f726eb97d4ad,1767101328000,760,23,148,187,4142,3.07,1513,1068.0,210,54,13,2,16,18,5,1768614442490
cmkhndhqs000kbz34a25ey9fn,19b65958d6737f33,1766935857000,987,29,161,185,3553,1.98,1006,3214.0,767,60,1,3,27,26,3,1768614442516
cmkhndhrt000mbz34mx4rrxmq,19b41cc0c8d35d49,1766335449000,788,25,142,196,3130,2.32,914,2532.0,535,58,19,3,11,16,9,1768614442553
cmkhndhsz000obz34nscjx4v6,19b3707b2d076581,1766154809000,843,16,151,180,3513,1.83,971,4246.0,1056,57,6,5,30,16,0,1768614442595
cmkhndhu5000qbz34wguhgu3x,19b2cbee9a541b76,1765982267000,668,19,131,185,3864,3.06,0,1412.0,300,57,27,4,7,17,2,1768614442637
cmkhndhv0000sbz34g4fn3tfe,19b1dbfb539f58e8,1765730660000,988,37,166,186,4960,3.53,0,1913.0,673,58,1,3,17,30,7,1768614442668
cmkhndhvs000ubz341fe3qjum,19b12fab8814c301,1765549979000,788,15,145,181,3941,1.92,1002,2734.0,696,57,12,5,25,15,0,1768614442697
cmkhndhwk000wbz34e0d6tgb2,19b08b2598afbc95,1765377463000,833,15,149,177,4280,2.86,0,1341.0,449,56,7,3,31,15,0,1768614442724
cmkhndhx8000ybz34wuwc88zw,19ae4a14217d206a,1764772364000,786,23,147,181,4322,3.61,1535,1252.0,392,56,9,13,11,23,0,1768614442749
cmkhndhxy0010bz34t5n7x18h,19ada54c47a3dced,1764599579000,778,7,144,182,3382,1.67,939,2988.0,874,56,7,11,31,7,0,1768614442774
cmkhndhyp0012bz34tmu117lf,19ab648053234c9a,1763994763000,716,17,136,186,3284,2.06,976,3277.0,1098,57,20,4,16,14,3,1768614442801
cmkhndhzu0014bz341wp31c4a,19aa6d98dff82c33,1763735865000,857,24,150,184,3606,2.05,976,3669.0,1333,59,12,2,21,23,1,1768614442842
cmkhndi0x0016bz346sv49zz2,19a9c874a78959d9,1763562703000,889,22,158,180,4271,2.59,1308,,,57,1,6,28,22,0,1768614442881
cmkhndi1t0018bz34vuuhcvnn,19a92401d426a01f,1763390266000,813,16,143,183,2066,1.88,946,4499.0,1211,60,12,6,26,16,0,1768614442913
cmkhndi2h001abz345ov7h0wr,19a82c871a0ef99c,1763130764000,847,16,154,180,3917,1.9,1025,2928.0,732,55,3,2,34,16,0,1768614442938
cmkhndi36001cbz34tpdjhvqo,19a6e2f007cd0653,1762785164000,843,16,152,179,3454,1.83,930,2933.0,780,57,5,6,30,16,0,1768614442963
cmkhndi3v001ebz34t3i0ivi8,19a645b2f08f0732,1762620287000,902,27,155,187,3543,2.18,1027,2134.0,601,59,7,4,21,20,7,1768614442988
cmkhndi4n001gbz34aaii5xse,19a5473cc9f97eee,1762353466000,913,20,154,185,5115,2.88,1624,632.0,150,61,3,10,28,17,3,1768614443016
cmkhndi5s001ibz34jdt5wddk,19a4a22b4a9efec3,1762180379000,887,25,158,183,3701,1.89,1005,3501.0,785,56,3,5,23,24,1,1768614443056
cmkhndi6o001kbz34zs6um8s1,19a3a787fe91572d,1761917565000,775,20,149,188,4167,2.09,1026,3137.0,861,53,13,1,19,14,6,1768614443088
cmkhndi84001mbz34cpfnfju8,19a2ff1ad6d0da92,1761740957000,838,22,154,184,4387,3.02,1581,,,55,4,7,22,20,2,1768614443140
cmkhndi94001obz34vwm78wqh,19a167091bf013e0,1761313066000,901,16,154,181,3786,1.87,876,,,59,1,5,37,16,0,1768614443176
cmkhndiak001qbz34lx9s25qf,19a05d3f5d1e21d6,1761034367000,678,20,157,179,5645,4.68,2388,,,42,1,4,17,20,0,1768614443228
cmkhndibm001sbz34oqv6ul9m,199e2ec5fa1a3a49,1760448764000,723,22,142,189,4253,3.49,1500,154.0,194,53,17,11,3,7,15,1768614443267
cmkhndich001ubz34ge4fx3ip,199ce53453dd6d42,1760103186000,947,30,163,183,3945,1.9,990,3972.0,992,57,0,3,24,27,3,1768614443297
cmkhndid5001wbz349thcnhl2,199c3cc2e4a7a5f2,1759926561000,898,17,155,187,5026,2.94,1484,2551.0,607,58,2,8,31,15,2,1768614443322
cmkhndidq001ybz34bqajhmmi,1999fbe90c3e3755,1759321689000,876,20,157,187,4673,3.61,1732,,,56,1,8,27,14,6,1768614443342
cmkhndie90020bz34qngzzo7h,199956719ae5894c,1759148185000,344,0,107,152,425,,,,,42,29,10,3,0,0,1768614443361
